City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
446,Mersing,MY,85.91,thunderstorm,2.4312,103.8405,Timotel Hotel
454,Eyl,SO,80.69,few clouds,7.9803,49.8164,EYL AQUE SYSTEM
465,Mahibadhoo,MV,81.93,overcast clouds,3.7833,72.9667,Omadhoo Inn
469,Jacmel,HT,78.64,scattered clouds,18.2342,-72.5347,Historic Hotel Florita
475,Kupang,ID,88.38,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
476,Soanierana Ivongo,MG,77.45,scattered clouds,-16.9167,49.5833,Hôtel Escale
483,Mocuba,MZ,78.78,light rain,-16.8392,36.9856,Phama Lodge
491,Lorengau,PG,86.67,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
494,Bourail,NC,82.15,overcast clouds,-21.5667,165.4833,Motel Allamanda
501,Acapulco de Juárez,MX,78.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
516,Kattivākkam,IN,78.89,light rain,13.2167,80.3167,Euronova Freezer
518,Hobyo,SO,80.6,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
525,Simões,BR,78.22,overcast clouds,-7.5989,-40.8178,Hotel Ponto Certo
535,Le Port,RE,80.56,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
539,São João de Pirabas,BR,75.99,overcast clouds,-0.7747,-47.1772,POUSADA SOL E MAR
545,Calabar,NG,75.36,overcast clouds,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
548,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
549,Fare,PF,77.14,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
550,Inhambane,MZ,76.98,scattered clouds,-23.865,35.3833,Oceano
551,Aquiraz,BR,78.89,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
554,Dafeng,CN,81.68,broken clouds,23.4517,108.5881,Shenglong Hotel
556,Kundiawa,PG,78.49,scattered clouds,-6.0167,144.9667,Pari
559,Singkawang,ID,85.91,broken clouds,0.9,109.0,Capital O 1822 Wahana Inn
560,Deltona,US,76.05,clear sky,28.9005,-81.2637,Travelodge by Wyndham Deltona
562,Alyangula,AU,86.36,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
576,Kirakira,SB,83.21,scattered clouds,-10.4544,161.9205,SanBiz Lodge
580,Kramat,ID,86.67,overcast clouds,-8.1311,113.4499,Padepokan HM Arum Sabil
583,Tondano,ID,84.29,overcast clouds,1.3038,124.9112,Villa Bella
584,Cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
587,Surat,IN,87.78,smoke,21.1667,72.8333,HOTEL VETROINN SPICE
591,Makkah al Mukarramah,SA,78.53,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
593,Yala,TH,83.03,overcast clouds,6.3333,101.25,งานแต่ง Murnee - Wahid
594,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
598,Malakal,SS,78.78,broken clouds,9.5334,31.6605,Nile Palace Hotel
599,Risod,IN,78.39,clear sky,19.9667,76.7833,Nikhil vitthal Parbat
600,Guhāgar,IN,84.06,clear sky,17.4842,73.1929,Seawinds Hotel Guhagar
602,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
605,Praia,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
610,Vanimo,PG,85.01,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
614,Sola,VU,82.27,clear sky,-13.8833,167.55,Leumerus Bungalows
616,Omboué,GA,76.39,light rain,-1.5746,9.2618,Hotel Olako
617,Keningau,MY,76.37,overcast clouds,5.3378,116.1602,Sabindo Hotel
625,San Policarpo,PH,82.35,overcast clouds,12.1791,125.5072,Agapita M. Nicart
638,Tezu,IN,80.01,scattered clouds,27.9167,96.1667,Circuit House
