City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Kuril'sk,RU,45.2333,147.8833,47.48,69,78,18.48,broken clouds
307,Fairbanks,US,64.8378,-147.7164,7.92,83,0,9.22,clear sky
308,Korla,CN,41.7597,86.1469,51.94,34,4,5.86,clear sky
309,Chālūs,IR,36.655,51.4204,62.06,88,40,4.61,scattered clouds
310,Vardø,NO,70.3705,31.1107,37.38,93,40,23.02,scattered clouds
311,Tromsø,NO,69.6496,18.957,43.38,93,0,4.61,clear sky
312,Emerald,AU,-23.5333,148.1667,76.33,30,0,12.37,clear sky
313,Los Llanos de Aridane,ES,28.6585,-17.9182,72.12,35,100,7.0,overcast clouds
314,Oruzgan,AF,32.8333,66.0,66.36,25,37,1.25,scattered clouds
315,Copiapó,CL,-27.3667,-70.3333,47.89,43,6,0.87,clear sky
316,Touros,BR,-5.1989,-35.4608,76.37,80,44,10.13,scattered clouds
317,Charagua,BO,-19.8,-63.2167,48.7,35,72,5.59,broken clouds
318,Dunedin,NZ,-45.8742,170.5036,56.8,76,100,7.94,overcast clouds
319,Saint-Joseph,RE,-21.3667,55.6167,77.38,76,14,8.9,few clouds
320,Lebanon,US,36.2081,-86.2911,61.97,87,0,0.0,clear sky
321,Bambanglipuro,ID,-7.95,110.2833,82.58,74,100,11.21,overcast clouds
322,Punta Alta,AR,-38.8759,-62.0736,58.26,36,0,14.5,clear sky
323,Kawalu,ID,-7.3817,108.2082,83.5,64,81,4.79,broken clouds
324,Altamont,US,42.2068,-121.7372,30.04,93,100,5.75,mist
325,Araouane,ML,18.9048,-3.5265,72.1,19,0,8.93,clear sky
326,Charters Towers,AU,-20.1,146.2667,85.26,19,5,12.53,clear sky
327,Norman Wells,CA,65.282,-126.8329,6.84,78,100,8.05,light snow
328,Jalpa,MX,21.6333,-102.9667,63.07,36,0,2.55,clear sky
329,Labuan,MY,5.2767,115.2417,86.36,70,20,3.44,few clouds
330,Ambilobe,MG,-13.2,49.05,82.99,44,0,5.91,clear sky
331,Pacifica,US,37.6138,-122.4869,53.58,84,20,8.99,few clouds
332,Boden,SE,65.8252,21.6886,39.2,99,71,4.61,broken clouds
333,Alexandria,EG,31.2156,29.9553,64.94,63,0,10.33,clear sky
334,Poya,NC,-21.35,165.15,81.75,67,100,6.76,overcast clouds
335,Kaitangata,NZ,-46.2817,169.8464,55.53,77,89,5.03,overcast clouds
336,Birin,NP,26.8865,88.0718,65.93,45,0,5.08,clear sky
